"SITE_ID","VISIT_NO","MCYST_TL_UGL","BASINAREA_KM2","PCT_OPENH20_BSN","PCT_ICESNOW_BSN","PCT_WATER_BSN","PCT_DEVOPEN_BSN","PCT_DEVLOW_BSN","PCT_DEVMED_BSN","PCT_DEVHIGH_BSN","PCT_DEVELOPED_BSN","PCT_BARREN_BSN","PCT_DECID_BSN","PCT_CONIF_BSN","PCT_MIXED_BSN","PCT_FOREST_BSN","PCT_SHRUBLAND_BSN","PCT_GRASS_BSN","PCT_PASTURE_BSN","PCT_CROPS_BSN","PCT_AGRIC_BSN","PCT_WDYWET_BSN","PCT_EMHERBWET_BSN","PCT_WETLAND_BSN","SECMEAN","DATE_COL","LAT_DD","LON_DD","LAKEAREA","LAKENAME","AREA_HA","DEPTHMAX","ELEV_PT","HUC_2","HUC_8","COND","ANC","TURB","TOC","DOC","NO3_NO2","NTL","PTL","CL","SO4","NO3","CA","MG","NA.","K","COLOR","SIO2","NH4ION","CHLA","DEPTH_SURF","TEMP_SURF","DO_SURF","COND_SURF","PH_SURF","DEPTH_BOT","TEMP_BOT","DO_BOT","COND_BOT","PH_BOT"
"NLA06608-0013",1,0.05,93.76924728,0.9,0,0.9,9.4,5.3,2.6,1.4,18.7,4.3,11.2,34.8,0.3,46.3,0,0,1.6,9.3,10.9,15.9,3,18.9,0.65,"9/4/2007",39.97428032,-74.56255123,0.371402558,"Mirror Lake",37.14025576,2.3,15.44,2,2040202,47.52,14.87,4.21,6.12,4.79,0.005,384,28,221.022216,110.0337,0.5,86.4268,60.563968,179.123158,18.3895754,19,3.103,0.713773839,16.027,0,27.3,NA,51.5,5.9,1.8,22.8,NA,41.3,4.8
"NLA06608-0014",1,0.05,7.066625128,9.2,0,9.2,5,0,0,0,5,0,0,0,0,0,0,21.8,13.1,37.3,50.4,0.6,13.1,13.7,0.85,"8/6/2007",47.83492738,-100.5756807,0.128095286,"Unnamed Lake",12.80952857,1.7,498.4,9,9010003,8722,29010.66,7.1,43.8,41.27,0.005,4147,175,13067.41671,62571.6993,0.5,444.3595,6860.35056,88604.63157,967.562778,29,7.661,1.152377651,8.748,0,20.9,7.7,9080,9.4,1.7,21.7,7.2,9080,9.4
"NLA06608-0015",1,0.05,68562.98157,0.4,0,0.4,0.9,0.6,0.1,0,1.6,1,2.3,27,0.5,29.8,44.7,18.8,1.7,0.6,2.3,0.9,0.4,1.3,0.37,"7/10/2007",33.0071076,-107.2747938,1.739929805,"Caballo Reservoir",173.9929805,7,1275.36,13,13030101,743.6,2896.42,32.7,3.78,3.78,0.005,470,109,1504.620864,2984.0265,0.5,2803.382,919.15696,3205.338881,137.5765314,5,21.271,1.02464053,20,0,25.2,8.9,NA,7.9,6.5,23.1,6.1,NA,8
"NLA06608-0016",1,0.29,42.28744418,16,0,16,5.9,0.6,0,0,6.5,0.1,0.1,0,0,0.1,0,61.9,1.8,12.3,14.1,1.2,0,1.2,0.54,"6/27/2007",41.03025217,-100.7797567,6.410233086,"Lake Maloney",641.0233086,6.3,916,10,10190018,1060,3256.44,16.5,4.88,4.69,0.021,490,6,1359.5292,6597.87882,4.783331,3280.925,2322.99024,4941.328496,292.596304,5,6.956,5.022610738,13,0,23.5,7.1,1100,8.2,6.2,23.6,6.8,1090,8.1
"NLA06608-0019",1,0.88,91.69963217,12.3,0,12.3,2.9,0.2,0,0,3.1,0,0.1,0,0,0.1,1.3,52.7,18.2,10.7,28.9,0,1.6,1.6,0.35,"6/11/2007",46.36688788,-99.51185877,1.033135279,"Doyles Lake",103.3135279,1.2,600.25,10,10130104,3327,8136.31,45.5,47.22,44.99,0.879,7047,801,1136.194092,27903.3804,58.470867,2048.395,5717.37024,26507.44353,1063.98656,57,26.392,108.3676151,4.032,0,22.9,7.4,3373,8.38,0.5,22.9,2.1,3373,8.38
"NLA06608-0020",1,0.05,53.75406649,5.3,0,5.3,3.6,0.9,0,0,4.5,0,24.9,0,0,24.9,0,0.7,2.7,61.8,64.5,0,0,0,0.69,"6/11/2007",39.40817838,-87.81380832,2.962001459,"Mill Creek Lake",296.2001459,14.9,184.92,5,5120111,214.1,1757.12,4.55,5.41,5.03,0.005,605,30,218.45547,242.0325,0.5,1257.48,605.310528,140.8887588,111.9999314,17,0.732,1.006510069,20.24,0,25.2,8.6,214,8,14,8.4,0,220,6.6
"NLA06608-0021",1,0.05,241.6641707,17.6,0,17.6,6.6,1.9,0.4,0.1,9,0.1,17.8,1.3,7.2,26.3,6.2,0.5,26.8,12.3,39.1,1.2,0.1,1.3,7.1,"7/27/2007",42.77191973,-77.3095481,42.26925272,"Canandaigua Lake",4226.925272,53,209.55,4,4140201,366.8,2238.28,0.574,2.74,2.92,0.139,390,7,899.545752,475.38306,15.635067,1766.959,892.00192,818.6250202,48.5188102,4,3.054,0.773799751,2.292,0,27.78,8.92,369,7.96,26,5.6,11.2,371,6.6
"NLA06608-0023",1,0.05,0.743655017,10.4,0,10.4,6.2,11.4,20.7,35.8,74.1,0.3,4.7,0,0,4.7,7.9,2.3,0,0,0,1.3,0,1.3,0.95,"8/9/2007",31.14849172,-97.745332,0.062072217,"Birdbath Lake",6.20722172,3,265.85,12,12070202,175.7,1461.71,3.79,4.08,3.88,0.005,349,12,116.575398,144.92802,0.5,1306.881,192.471632,186.9527278,31.1267222,7,4.215,0.199710859,2.776,0,29.4,7.8,168,8.2,2.5,28.9,7.5,168,8.2
"NLA06608-0024",1,0.26,2170.026762,5.6,0,5.6,3.4,6.1,1,0.4,10.9,0.1,13.7,4.9,4.7,23.3,8.9,0,35.3,3.7,39,12.4,0,12.4,0.9,"7/11/2007",32.1220497,-95.48843409,95.30145112,"Lake Palestine",9530.145112,12.9,105.13,12,12020001,181.4,592.55,5.68,8.54,8.2,0.005,860,35,548.493876,429.95382,0.5,553.391,299.034592,537.1954835,104.736177,26,9.619,1.81174383,44.151,0,27.8,7.1,176.2,7.1,12.4,21,0.1,270.6,7.1
"NLA06608-0025",1,0.05,6.838269982,2.6,0,2.6,5.7,0.9,0.3,0.2,7.1,0,67.8,10.8,4.6,83.2,0.5,0.7,5.6,0.1,5.7,0.1,0,0.1,3.55,"6/18/2007",35.20132137,-81.34573084,0.114812351,"Kings Mountian #1 Lake",11.48123514,8,245.48,3,3050105,84.96,669.69,1.56,3.5,3.43,0.005,195,10,103.262166,69.1224,0.5,394.21,230.159536,152.8506015,16.4713304,15,5.669,0.838782687,1.304,0,28.7,NA,87.3,7.6,7.5,11.2,NA,98.7,7
"NLA06608-0029",1,0.17,18.7698932,2.9,0,2.9,4.6,4.9,0.5,0,10,0.5,18.3,1.8,0.6,20.7,0,0,17.6,45.1,62.7,2.1,1,3.1,0.27,"7/2/2007",38.75601051,-75.21503793,0.731003742,"Red Mill Pond",73.10037419,1.7,1.87,2,2040207,141.7,604.66,25.1,7.06,4.12,0.005,2106,247,489.035628,164.31144,0.5,391.3158,326.354208,444.9805503,53.966626,12,2.111,1.058458876,123.12,0,24.7,8.2,158,7.7,1.5,24.5,8.1,156,7.6
"NLA06608-0031",1,0.05,12.16141233,1.8,0,1.8,8.2,0.1,0,0,8.3,0,60.6,0.6,0,61.2,0,1.2,20.8,6.7,27.5,0.1,0,0.1,0.98,"6/13/2007",39.77645357,-81.51745185,0.242495358,"Caldwell Lake",24.24953577,4.9,241.93,5,5030201,357.1,2761.85,8.82,4.17,3.83,0.005,428,32,246.210174,761.84544,0.5,2321.348,813.252304,365.379924,55.1943028,9,4.167,0.716861513,5.264,0,25.3,8.4,302,7.7,4.5,11,0.5,207.6,6.5
"NLA06608-0033",1,0.05,5.519077524,0,0,0,3,1.6,0,0,4.6,0,0,59.3,0,59.3,17,2.7,0,0,0,14.7,1.6,16.3,0.7,"7/17/2007",47.31108363,-121.2990598,0.151644835,"Swamp",15.16448355,1.4,732.43,17,17030001,109.5,1040.1,12.2,12.04,10.11,0.005,835,67,21.634002,2.5,0.5,703.091,247.110864,86.82122956,11.9954254,61,10.543,3.438501176,8.92,0,21.5,1.8,101.3,6.7,0.9,19.4,0.2,127.3,6.5
"NLA06608-0036",1,0.05,1.224605698,5.6,0,5.6,0,0,0,0,0,0,88,5.3,1.1,94.4,0,0,0,0,0,0,0,0,2.23,"7/12/2007",37.47735404,-88.32737922,0.120276054,"Whoople Cat Lake",12.02760537,5,113.39,5,5140203,133.5,1147.2,1.57,4.09,4.07,0.005,178,8,10.633662,188.17116,0.5,940.615,306.358224,69.1611999,9.591225,7,1.376,1.052687482,5.069,0,30.5,8.3,136,8.2,4.5,20.1,0.4,196,7.8
"NLA06608-0037",1,0.14,37.25673266,7.5,0,7.5,5.5,1.1,0.1,0,6.7,0,66.5,1.6,0.9,69,0.7,0.2,11.1,1,12.1,3.2,0.5,3.7,2.9,"7/13/2007",41.69699293,-73.36398551,2.36955581,"Lake Waramaug",236.955581,13,211.27,1,1100005,98.02,468.8,2.59,3.37,3.38,0.005,239,14,280.621494,131.7906,0.5,356.286,219.215232,238.7583813,26.8042768,7,0.644,1.346931214,8.016,0,25.4,8.8,104,9.1,13,9.1,0.3,191,7.3
"NLA06608-0038",1,0.05,25.86530737,11.7,0,11.7,2.7,1.7,0.5,0.2,5.1,0.1,41.2,12.3,20.8,74.3,2.8,0.2,0,1.8,1.8,3.9,0,3.9,4.45,"7/12/2007",44.79759122,-71.86971736,2.206478779,"Island Pond",220.6478779,11.3,358.73,1,1110000,59.7,341.07,0.549,3.59,3.27,0.028,158,4,119.254968,74.91036,2.570148,333.9807,57.930752,117.443547,14.6298152,10,3.54,1.188841939,4.328,0.2,20.3,8.6,59.2,7.6,11,8.5,6.2,60.6,6.8
"NLA06608-0041",1,0.05,2083.774493,0.8,0,0.8,3.9,0.5,0.1,0,4.5,1.1,77.4,3.9,8.4,89.7,0,0.1,2.2,1.3,3.5,0,0.1,0.1,9.48,"6/12/2007",38.22694093,-80.85405519,10.71509332,"Summersville Lake",1071.509332,43,501.84,5,5050005,82.91,269.71,0.601,1.29,1.24,0.395,476,1,58.24539,372.32406,26.843768,337.324,251.965856,100.1314982,20.4868566,4,2.505,0.776203176,0.884,0,24.86,11.78,83.7,7.07,30,9.75,13.68,49.8,7.25
"NLA06608-0042",1,0.05,87.79963746,2.1,0.7,2.8,0,0,0,0,0,0.6,0.6,50.4,0,51,12.3,33.2,0,0,0,0.1,0,0.1,3.38,"6/22/2007",44.45823517,-107.0403753,0.777184868,"Willow Park Reservoir",77.7184868,13.6,2626,10,10090206,21.54,138.99,0.712,5,4.76,0,246,17,4.541166,21.36132,0,97.5046,48.714496,38.75637051,11.5350466,8,4.374,0.773070349,2.432,0,13.8,8.9,NA,7.6,13,7.2,6,NA,6.5
"NLA06608-0042",1,0.05,87.79963746,2.1,0.7,2.8,0,0,0,0,0,0.6,0.6,50.4,0,51,12.3,33.2,0,0,0,0.1,0,0.1,3.38,"6/22/2007",44.45823517,-107.0403753,0.777184868,"Willow Park Reservoir",77.7184868,13.6,2626,10,10090206,21.52,151.26,0.791,4.98,4.78,0.005,213,15,5.020668,21.42378,0.5,92.9637,48.96136,40.0178012,11.3304338,14,4.433,0.997465385,2.208,0,13.8,8.9,NA,7.6,13,7.2,6,NA,6.5
"NLA06608-0043",1,0.05,150.9026147,5.6,0,5.6,4.1,3.1,0.3,0.1,7.6,0,5.1,0.2,0,5.3,2.1,1.2,15,44.4,59.4,18.7,0.2,18.9,1.85,"7/31/2007",41.553395,-85.44424168,0.242471918,"Messick Lake",24.24719175,16.5,273.03,4,4050001,438.1,3442.43,3.74,7.46,7.22,0.005,645,9,529.821504,693.38928,0.5,2462.565,1583.22112,313.0522992,66.3968536,16,2.971,0.9301131,5.409,0,26.8,7.9,NA,8.4,16,5.9,0,NA,7.3
"NLA06608-0044",1,0.05,202.3008717,2.7,0,2.7,0.2,0,0,0,0.2,0,0.1,0,0,0.1,0,92.1,0,0,0,0.3,4.5,4.8,0.12,"7/18/2007",42.4048448,-101.7024805,2.198023543,"Steverson Lake",219.8023543,1.6,1097.9,10,10150004,274.1,2901.61,121,30.44,16.68,0.005,4108,601,37.401156,201.24612,0.5,1725.542,372.517776,423.1882477,212.9507716,27,2.462,2.024219536,135.61,0,24.7,7.6,262,8.7,1.2,24.4,5.6,264,8.4
"NLA06608-0045",1,0.05,42.17876613,1.1,0,1.1,2.4,0.1,0,0,2.5,0.4,32.5,16.2,4.9,53.6,2.4,3.1,32.6,1.1,33.7,3,0.1,3.1,0.86,"6/26/2007",37.29320486,-77.88986113,0.288381982,"Beaver Pond",28.83819816,2.1,65.73,2,2080207,103.3,872.19,9.45,5.28,4.79,0.012,648,54,114.742008,46.76172,2.784327,389.4695,316.232784,202.9163507,47.2911334,34,20.583,2.106824525,20.16,0,29.1,10.17,97,7.45,2,21.7,0.83,276,6.8
"NLA06608-0048",1,0.05,0.452342891,13,0,13,12.4,0,0,0,12.4,0,13.3,0,0,13.3,0,0,0,42.2,42.2,12.6,6.6,19.2,0.28,"8/2/2007",36.7872968,-89.17572548,0.056179483,"Nolen Blue Hole",5.61794831,3,92.55,8,8020201,223.9,1851.08,16.7,5.21,4.77,0.005,773,111,216.19899,172.43124,0.5,1219.556,628.844896,236.3660127,84.2493204,10,4.164,0.686142682,54,0,29.9,6,NA,8.6,2.5,28.8,0,NA,7.5
"NLA06608-0049",1,0.05,4.044261315,2.1,0,2.1,0,0,0,0,0,0.2,0,61.6,0,61.6,11.8,24.4,0,0,0,0,0,0,2.53,"8/15/2007",45.06232667,-117.1533553,0.128905475,"Clear Creek Reservoir",12.89054746,3.7,2107.88,17,17050201,91.89,829.8,1.55,2.03,1.88,0.005,256,15,13.200408,57.79632,0.5,787.422,92.656288,60.67916595,11.5350466,5,7.447,0.960377133,1.136,0,18.7,8.2,87,8.2,3,16.7,8.4,88,8.1
"NLA06608-0050",1,0.05,0.852790765,12,0,12,0,0,0,0,0,0,57.3,2.7,23.7,83.7,0,0,0,0,0,4.1,0,4.1,1.5,"7/2/2007",43.44601793,-71.80868659,0.119790709,"Adder Pond",11.97907093,4.9,196.17,1,1070003,25.53,122.67,1.78,5.69,5.14,0.005,303,16,16.810776,58.8165,0.5,99.6503,39.004512,49.32628974,21.5099206,33,4.906,0.851925151,3.952,0.9,21,7.82,NA,6.64,4.9,8.36,0.47,NA,5.6
"NLA06608-0053",1,0.05,3161.13308,6.7,0,6.7,3.4,1.4,0.5,0.1,5.4,0.1,33.7,16.9,8.9,59.5,3.1,0.2,13.4,4.3,17.7,6.6,0.7,7.3,0.85,"8/23/2007",43.55819295,-73.43960723,4.709098,"South Bay Lake Champlain",470.73915,5.3,28.85,2,2010001,196,1442.43,8.12,2.95,2.88,0.005,246,29,299.604132,162.37518,0.5,1223.548,418.681344,310.0074665,20.3589736,6,3.359,0.813995805,6.256,0,21.1,7.55,193,7.6,5,21.1,7.37,193,7.83
"NLA06608-0057",1,0.17,134.9799567,0.8,0,0.8,7.2,1.9,0.2,0.1,9.4,0,28.4,8.4,1.5,38.3,0.5,3,44.4,3.2,47.6,0.4,0,0.4,0.5,"6/16/2007",34.96189211,-80.51686138,0.530283936,"Lake Lee",53.02839363,3.7,149.57,3,3040105,158.3,978.48,15.4,11.41,9.7,0.005,1756,218,415.812852,69.30978,0.5,541.415,407.654752,341.5432337,132.742554,30,1.269,1.405582452,125.396,0,25,NA,160.1,7.38,3.3,22.6,NA,247.6,7
"NLA06608-0061",1,0.05,11406.00514,0.1,0,0.1,0.3,0.1,0,0,0.4,0.2,0.3,12.4,0,12.7,84.8,1.7,0.1,0,0.1,0.1,0,0.1,2,"6/12/2007",34.24558153,-113.5793644,5.723287327,"Alamo",572.3287327,15.3,335,15,15030204,775.8,4405.83,3.02,6.24,6.08,0,495,20,1980.794556,1474.22256,0,1952.088,1942.81968,3854.758198,200.1113184,10,16.734,1.275957475,3.58,0,27.1,8.5,822.3,7.8,15.3,12.7,0.5,554.3,7.6
"NLA06608-0061",1,0.05,11406.00514,0.1,0,0.1,0.3,0.1,0,0,0.4,0.2,0.3,12.4,0,12.7,84.8,1.7,0.1,0,0.1,0.1,0,0.1,2,"6/12/2007",34.24558153,-113.5793644,5.723287327,"Alamo",572.3287327,15.3,335,15,15030204,779.4,4367.17,3.49,6.24,6.12,0.005,481,19,1983.107448,1474.95126,0.5,1968.056,1960.92304,3853.018294,200.8274632,11,16.766,1.17088889,3.5,0,27.1,8.5,822.3,7.8,15.3,12.7,0.5,554.3,7.6
"NLA06608-0062",1,8.9,8.152610299,20.7,0,20.7,2.6,0,0,0,2.6,0,0.1,0,0,0.1,0,52.6,1.2,19.4,20.6,0.1,3.5,3.6,1.16,"8/9/2007",47.32067994,-99.74629427,0.542985616,"(Unnamed Lake)",54.29856165,2.7,562.29,10,10130103,3835,9844.13,12.3,31.18,28.53,0.005,2834,152,1935.382896,35655.12444,0.5,1865.262,19370.5952,20774.45854,2010.576526,18,14.069,2.221009121,2.184,0,21.7,8.3,3850,9,2.5,21.2,7.7,3850,9
"NLA06608-0064",1,0.65,14.74669434,1.3,0,1.3,0.9,0,0,0,0.9,0,0,0,0,0,0.4,25.4,0,72,72,0,0,0,0.46,"6/18/2007",48.8940613,-112.1680165,0.252077914,"Fitzpatrick Lake",25.20779145,2.5,1208,10,10050002,2504,8138.77,13.6,36.48,33.65,0.062,3366,2047,2162.807874,19631.09472,11.994024,6022.93,12318.5136,10043.59815,1591.376052,24,22.655,9.186635671,19.04,0,13.22,8.4,NA,8.8,2,13,8.3,NA,8.8
"NLA06608-0065",1,0.05,32.895357,4.8,0,4.8,1.4,0.4,0,0,1.8,0,0,24.3,0,24.3,63.3,5.2,0.3,0,0.3,0.1,0.1,0.2,7.02,"7/17/2007",48.96243381,-115.116608,0.895225888,"Sophie Lake",89.52258877,17.1,766.43,17,17010101,197.1,1944.23,0.253,1.52,1.32,0,70,1,10.323396,94.0023,0,1078.838,818.518736,33.75414536,8.2100886,0,4.501,0.431380117,0.544,0,24.2,8.5,187.6,8.5,16.6,8.4,0,127.6,7.2
"NLA06608-0065",1,0.05,32.895357,4.8,0,4.8,1.4,0.4,0,0,1.8,0,0,24.3,0,24.3,63.3,5.2,0.3,0,0.3,0.1,0.1,0.2,7.02,"7/17/2007",48.96243381,-115.116608,0.895225888,"Sophie Lake",89.52258877,17.1,766.43,17,17010101,194.2,1944.42,0.257,1.59,1.28,0.005,71,1,11.056752,93.60672,0.5,1081.832,821.892544,33.9281358,7.6474034,3,4.515,0.378465288,0.568,0,24.2,8.5,187.6,8.5,16.6,8.4,0,127.6,7.2
"NLA06608-0066",1,0.05,1115.529064,3,0,3,6.9,0.6,0.2,0,7.7,0.9,63.2,3.9,1.6,68.7,0,0,14.5,4.2,18.7,0.5,0.4,0.9,2.75,"6/12/2007",39.76851425,-79.38081778,10.94588775,"Youghiogheny River Lake",1094.588775,20.5,439.26,5,5020006,114.6,257.92,1.92,1.61,1.63,0.508,665,7,399.509784,286.5873,35.982072,424.649,151.903648,332.6262237,26.0625554,0,1.97,1.976312321,1.749,0,23.7,7.8,NA,7.4,20.5,6.8,6.6,NA,6.8
"NLA06608-0068",1,0.05,35.27345254,1.9,0,1.9,0.5,0,0,0,0.5,30.1,9.7,40.1,1.7,51.5,0.1,14,0,0,0,1.8,0.1,1.9,3.8,"7/9/2007",37.82447614,-107.8853911,0.500989694,"Trout Lake",50.09896936,18.6,2959.6,14,14030003,190.4,675.66,0.887,1.21,1.12,0.132,168,1,9.533628,1053.61692,11.994024,1461.571,189.838416,65.55089827,6.6754926,0,6.286,0.686595447,0.953,0,14.6,7.5,187,8.1,17.8,4.8,5.3,229,7.4
"NLA06608-0069",1,0.05,3.872516657,8.3,0,8.3,18.5,4.3,0.1,0,22.9,0,0,36.8,0,36.8,0.2,1.4,2.8,0,2.8,24.6,3,27.6,0.65,"7/18/2007",28.63735951,-81.13759704,0.244704468,"Horseshoe Lake",24.47044676,3.4,11.26,3,3080101,145.9,141.78,2.74,13.62,13.24,0.005,420,39,810.696852,208.5123,0.5,319.3101,136.351216,592.4374482,43.6848328,77,1.233,1.415530927,7.408,0,31.7,6.8,144,6.4,2.9,29.7,3.5,146,6
"NLA06608-0071",1,1.1,28.86991168,14.2,0,14.2,5.4,0.1,0,0,5.5,0.1,0.5,0.1,2.9,3.5,0.1,0,0,65.1,65.1,10.6,0.8,11.4,0.38,"9/6/2007",31.66683993,-91.50916933,4.602095294,"Lake Concordia",460.2095294,5.3,15.17,8,8060100,245.2,2249.12,12.9,11.13,7.9,0,2369,399,225.36594,5.45484,0.071393,1072.85,838.51472,379.0816712,104.6850238,13,14.578,2.085415311,180,0,31.11,6.86,NA,8.71,5,29.49,2.1,NA,7.33
"NLA06608-0071",1,1.1,28.86991168,14.2,0,14.2,5.4,0.1,0,0,5.5,0.1,0.5,0.1,2.9,3.5,0.1,0,0,65.1,65.1,10.6,0.8,11.4,0.38,"9/6/2007",31.66683993,-91.50916933,4.602095294,"Lake Concordia",460.2095294,5.3,15.17,8,8060100,241.7,2235.55,14.4,12.02,8.15,0.005,2441,415,224.322318,2.5,0.5,1053.389,820.740512,371.1216085,102.5110128,13,14.251,1.41800225,198.72,0,31.11,6.86,NA,8.71,5,29.49,2.1,NA,7.33
